stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,tinh_thanh,ten_co_so_norm,quan_huyen_norm,phuong_xa_norm,thoi_han_gcn_attp,processing_days,attp_valid
1,,YT,4042226949.0,2022-12-19,2023-01-17,,wayne's vien đong,ĐINH NGUYÊN DŨNG,Tầng trệt (khu vực quầy bar) Khách sạn Viễn Đông - 275A Phạm Ngũ Lão,pham ngu lao,1,,kinh doanh dich vu an uong,1,2023-01-03,,,,,,ho chi minh,wayne's vien đong,1,pham ngu lao,2026-01-02,15.0,True
2,,YT,4042226934.0,2022-12-16,2023-01-16,,cong ty co phan benh vien phu san quoc te sai gon,TRẦN TÚ LIÊN,63 Bùi Thị Xuân,pham ngu lao,1,,kinh doanh dich vu an uong,2,2023-01-03,,,,,,ho chi minh,cong ty co phan benh vien phu san quoc te sai gon,1,pham ngu lao,2026-01-02,18.0,True
3,,YT,4042226622.0,2022-12-27,2023-02-01,,cua hang so 34 - cong ty tnhh banh ngot cj viet nam,KIM JAE YOUNG,Số 201 Khánh Hội,3,4,,kinh doanh dich vu an uong,3,2023-01-03,,,,,,ho chi minh,cua hang so 34 - cong ty tnhh banh ngot cj viet nam,4,3,2026-01-02,7.0,True
4,,YT,4042226844.0,2022-12-15,2023-01-13,,đia điem kinh doanh so 24 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,TRƯƠNG THỊ THANH HUYỀN,491/10 Nguyễn Văn Công,3,go vap,,kinh doanh dich vu an uong,4,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh so 24 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,go vap,3,2026-01-02,19.0,True
5,,YT,4042227009.0,2022-12-19,2023-01-17,,đia điem kinh doanh cong ty tnhh 89 home,NGUYỄN PHẠM ÁNH NGUYỆT,Quầy RGD 2 tầng trệt- Trung tâm thương mại Aeon - số 30 Tân Thắng,son ky,tan phu,,kinh doanh dich vu an uong,5,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh 89 home,tan phu,son ky,2026-01-02,15.0,True
6,,YT,,2023-12-16,2023-01-30,,đia điem kinh doanh cong ty tnhh dvkd thanh đam - nha hang sabor tapas bar,TRẦN THANH THẢO,114/1 - 114/2 Yersin,nguyen thai binh,1,,kinh doanh dich vu an uong,6,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh dvkd thanh đam - nha hang sabor tapas bar,1,nguyen thai binh,2026-01-02,-347.0,True
7,,YT,,2023-12-16,2023-01-30,,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_063đth,NGUYỄN HUỲNH KHOA,63 Đinh Tiên Hoàng,đa kao,1,,kinh doanh dich vu an uong,7,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_063đth,1,đa kao,2026-01-02,-347.0,True
8,,NN,,2022-12-15,2023-01-16,,cong ty tnhh mot thanh vien hoang net,,425/7 Nguyễn Oanh,17,go vap,313131057.0,"rang, xay, đong goi ca phe",8,2023-01-03,,,,,,ho chi minh,cong ty tnhh mot thanh vien hoang net,go vap,17,2026-01-02,19.0,True
9,,YT,,2022-12-16,2023-01-30,,chi nhanh 1 cong ty tnhh dich vu du lich da ngoai,PHAN CHÍ NGHĨA,1 phần căn nhà số 353 Thống Nhất,11,go vap,,kinh doanh dich vu an uong,9,2023-01-03,,,,,,ho chi minh,chi nhanh 1 cong ty tnhh dich vu du lich da ngoai,go vap,11,2026-01-02,18.0,True
10,,NN,,2022-12-16,2023-01-16,,đia điem kinh doanh so 14 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai va đau tu k.l.e.v.e,,449 Phan Văn Trị,5,go vap,,kinh doanh trai cay,10,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh so 14 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai va đau tu k.l.e.v.e,go vap,5,2026-01-02,18.0,True
11,,CT,,2022-12-16,2023-01-30,,đia điem kinh doanh cong ty tnhh sai gon song anh - cua hang thuc pham song anh food,BẠCH NGỌC TUẤN,80/4 Dương Quảng Hàm,5,go vap,,ban le nhom san pham theo danh muc,11,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh sai gon song anh - cua hang thuc pham song anh food,go vap,5,2026-01-02,18.0,True
12,,NN,,2022-12-20,2023-01-16,,ho kinh doanh tran van thang,,350/54/41 Lê Đức Thọ,6,go vap,,"so che rau, cu, trai cay",12,2023-01-03,,,,,,ho chi minh,ho kinh doanh tran van thang,go vap,6,2026-01-02,14.0,True
13,,YT,4042226818.0,2022-12-15,2023-01-13,,cong ty tnhh enzo & leo cuisine,NGUYỄN THỊ LỆ THU,"Số 22B, Đường Phùng Khắc Khoan",đa kao,1,,kinh doanh dich vu an uong,13,2023-01-03,,,,,,ho chi minh,cong ty tnhh enzo & leo cuisine,1,đa kao,2026-01-02,19.0,True
14,,YT,4042226870.0,2022-12-20,2023-01-18,,đia điem kinh doanh 20 – cong ty co phan san xuat thuong mai dich vu pho hai muoi bon,THÁI PHI ĐÁN,"Gian hàng #0.38 – Tầng trệt, Số 584 Huỳnh Tấn Phát",tan phu,7,,kinh doanh dich vu an uong,14,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh 20 – cong ty co phan san xuat thuong mai dich vu pho hai muoi bon,7,tan phu,2026-01-02,14.0,True
15,,YT,4042226929.0,2022-12-20,2023-01-18,,đia điem kinh doanh nguyen thi thap - cong ty co phan đau tu thuong mai ttv,TRẦN TUYẾT VÂN,"Vị trí 1S11-A, Trung Tâm Thương Mại Go! Nguyễn Thị Thập, Lô A, Khu dân cư Cityland, Số 99, Đường Nguyễn Thị Thập",tan phu,7,,kinh doanh dich vu an uong,15,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh nguyen thi thap - cong ty co phan đau tu thuong mai ttv,7,tan phu,2026-01-02,14.0,True
16,,YT,4042227030.0,2022-12-20,2023-01-18,,cong ty tnhh trang mat,NGÔ KIM ÁNH,"Lầu 2, Cao ốc H3 - 384 Hoàng Diệu",6,4,,kinh doanh dich vu an uong,16,2023-01-04,,,,,,ho chi minh,cong ty tnhh trang mat,4,6,2026-01-03,15.0,True
17,,YT,4042226955.0,2022-12-20,2023-01-18,,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,VÕ THỊ PHI PHƯƠNG,172 Khánh Hội,6,4,,kinh doanh dich vu an uong,17,2023-01-04,,,,,,ho chi minh,đia điem kinh doanh - cong ty tnhh dich vu thuc pham va giai khat viet nam,4,6,2026-01-03,15.0,True
18,,YT,4042226887.0,2022-12-20,2023-01-18,,đia điem kinh doanh phuc long hcm 326 - ks - cong ty co phan phuc long heritage,PHẠM THỊ THU HƯƠNG,1191-1193 Phạm Văn Bạch,12,go vap,,kinh doanh dich vu an uong,18,2023-01-04,,,,,,ho chi minh,đia điem kinh doanh phuc long hcm 326 - ks - cong ty co phan phuc long heritage,go vap,12,2026-01-03,15.0,True
19,,YT,4042226958.0,2022-12-20,2023-01-18,,đia điem kinh doanh 86- cong ty tnhh guta viet nam,NGUYỄN MINH THẾ,428 Phan Văn Trị,7,go vap,,kinh doanh dich vu an uong,19,2023-01-04,,,,,,ho chi minh,đia điem kinh doanh 86- cong ty tnhh guta viet nam,go vap,7,2026-01-03,15.0,True
20,,YT,4042226938.0,2022-12-19,2023-01-17,,đia điem kinh doanh so 3 - cong ty tnhh ham ruou de cua 245,NGUYỄN THỊ NGẦN,"Số 1, đường Hoà Bình, Khu phố 4",binh tho,thu đuc,,kinh doanh dich vu an uong,20,2023-01-04,,,,,,ho chi minh,đia điem kinh doanh so 3 - cong ty tnhh ham ruou de cua 245,thu đuc,binh tho,2026-01-03,16.0,True
21,,YT,4042226889.0,2022-12-16,2023-01-16,,cong ty tnhh mama kitchen,NGUYỄN NGỌC TRÂM,B18 Bạch Đằng 1,2,tan binh,,kinh doanh dich vu an uong,21,2023-01-04,,,,,,ho chi minh,cong ty tnhh mama kitchen,tan binh,2,2026-01-03,19.0,True
22,,YT,4042226965.0,2022-12-19,2023-01-17,,đia điem kinh doanh 65 - cong ty tnhh guta viet nam,NGUYỄN MINH THẾ,54 Út Tịch,4,tan binh,,kinh doanh dich vu an uong,22,2023-01-04,,,,,,ho chi minh,đia điem kinh doanh 65 - cong ty tnhh guta viet nam,tan binh,4,2026-01-03,16.0,True
23,,YT,4042226677.0,2022-12-16,2023-01-16,,cong ty tnhh thuong mai dich vu thuc pham trung nam,TRỊNH KIÊN LĨNH,245A Nguyễn Thị Tú,binh hung hoa b,binh tan,,kinh doanh dich vu an uong,23,2023-01-04,,,,,,ho chi minh,cong ty tnhh thuong mai dich vu thuc pham trung nam,binh tan,binh hung hoa b,2026-01-03,19.0,True
24,,CT,,2022-12-21,2023-01-30,,cua hang kmarket vinhomes central park 2- cong ty tnhh thuong mai an cat,NGÔ THỊ HIỀN,"P6-SH,08, Tòa nhà Park 6, Vinhomes Central Park, 720A Điện Biên Phủ",22,binh thanh,,ban le nhom san pham theo danh muc,24,2023-01-04,,,,,,ho chi minh,cua hang kmarket vinhomes central park 2- cong ty tnhh thuong mai an cat,binh thanh,22,2026-01-03,14.0,True
25,,NN,,2022-12-19,2023-01-16,,ho kinh doanh hong my,,175/4 Nguyễn Chế Nghĩa,12,8,,che bien com chay,25,2023-01-04,,,,,,ho chi minh,ho kinh doanh hong my,8,12,2026-01-03,16.0,True
26,,YT,4042226954.0,2022-12-20,2023-01-18,,wayne’s pandora,ĐINH NGUYÊN DŨNG,"Tầng G, vị trí G-01A, Tòa nhà A, Trung tâm thương mại Pandora City, số 1/1 Trường Chinh",tay thanh,tan phu,,kinh doanh dich vu an uong,26,2023-01-04,,,,,,ho chi minh,wayne’s pandora,tan phu,tay thanh,2026-01-03,15.0,True
27,,YT,4042226971.0,2022-12-20,2023-01-18,,đia điem kinh doanh phuc long hcm 472 - cong ty co phan phuc long heritage,PHẠM THỊ THU HƯƠNG,514A Lê Trọng Tấn,tay thanh,tan phu,,kinh doanh dich vu an uong,27,2023-01-04,,,,,,ho chi minh,đia điem kinh doanh phuc long hcm 472 - cong ty co phan phuc long heritage,tan phu,tay thanh,2026-01-03,15.0,True
28,,YT,4042227017.0,2022-12-20,2023-01-18,,cong ty tnhh tmdv nha hang đang loc,ĐẶNG NGỌC VÂN ANH,171 Trương Vĩnh Ký,tan thanh,tan phu,,kinh doanh dich vu an uong,28,2023-01-04,,,,,,ho chi minh,cong ty tnhh tmdv nha hang đang loc,tan phu,tan thanh,2026-01-03,15.0,True
29,,YT,4042226939.0,2022-12-19,2023-01-17,,đia điem kinh doanh cong ty tnhh minh ca,HUỲNH MINH EM,"T01, tầng 4, tòa nhà FTown 2, Lô T2 đường D1, Khu Công Nghệ Cao TP. HCM",tan phu,thu đuc,,kinh doanh dich vu an uong,29,2023-01-04,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh minh ca,thu đuc,tan phu,2026-01-03,16.0,True
30,,YT,4042226982.0,2022-12-20,2023-01-18,,cong ty tnhh mot thanh vien an uong phung nguyen,LƯƠNG VÂN,275 Tạ Uyên,6,11,,kinh doanh dich vu an uong,30,2023-01-05,,,,,,ho chi minh,cong ty tnhh mot thanh vien an uong phung nguyen,11,6,2026-01-04,16.0,True
31,,YT,4042226471.0,2022-12-27,2023-02-01,,đia điem kinh doanh cong ty tnhh thuong mai dich vu komorebi - nha hang ikigai sushi,HOÀNG LÊ GIANG,4A Cao Thắng,5,3,,kinh doanh dich vu an uong,31,2023-01-05,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai dich vu komorebi - nha hang ikigai sushi,3,5,2026-01-04,9.0,True
32,,YT,4042226035.0,2022-12-27,2023-02-01,,chi nhanh cong ty co phan đau tu va thuong mai co ba vung tau,ĐẶNG BÌNH,40B Trần Cao Vân,vo thi sau,3,,kinh doanh dich vu an uong,32,2023-01-05,,,,,,ho chi minh,chi nhanh cong ty co phan đau tu va thuong mai co ba vung tau,3,vo thi sau,2026-01-04,9.0,True
33,,YT,4042226961.0,2022-12-16,2023-01-16,,cong ty tnhh east tan phat,NGÔ THỊ THANH VÂN,73 Bà Huyện Thanh Quan,vo thi sau,3,,kinh doanh dich vu an uong,33,2023-01-05,,,,,,ho chi minh,cong ty tnhh east tan phat,3,vo thi sau,2026-01-04,20.0,True
34,,YT,4042227028.0,2022-12-20,2023-01-18,,doanh nghiep tu nhan nhu phuc vinh - pho dau,UÔNG LÂM BÍCH HOÀNG,288M1 - 288M2 Nam Kỳ Khởi Nghĩa,vo thi sau,3,,kinh doanh dich vu an uong,34,2023-01-05,,,,,,ho chi minh,doanh nghiep tu nhan nhu phuc vinh - pho dau,3,vo thi sau,2026-01-04,16.0,True
35,,YT,4042227012.0,2022-12-19,2023-01-17,,chi nhanh cong ty co phan đau tu dich vu metta,LÊ VĂN HIẾU,25C Tú Xương,vo thi sau,3,,kinh doanh dich vu an uong,35,2023-01-05,,,,,,ho chi minh,chi nhanh cong ty co phan đau tu dich vu metta,3,vo thi sau,2026-01-04,17.0,True
36,,YT,4042226968.0,2022-12-16,2023-01-16,,doanh nghiep tu nhan am sac moc,LÊ QUANG MINH,6E1 Ngô Thời Nhiệm,vo thi sau,3,,kinh doanh dich vu an uong,36,2023-01-05,,,,,,ho chi minh,doanh nghiep tu nhan am sac moc,3,vo thi sau,2026-01-04,20.0,True
37,,YT,4042226901.0,2022-12-16,2023-01-16,,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang ashima,HÀ THÚC TÚ,11A Tú Xương,vo thi sau,3,,kinh doanh dich vu an uong,37,2023-01-05,,,,,,ho chi minh,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang ashima,3,vo thi sau,2026-01-04,20.0,True
38,,YT,4042227023.0,2022-12-20,2023-01-18,,ho kinh doanh tam tai,NGUYỄN BẢO QUỐC,"D2/23B Đoàn Nguyễn Tuấn, Ấp 4",qui đuc,binh chanh,,san xuat nuoc đa vien dung lien,38,2023-01-05,,,,,,ho chi minh,ho kinh doanh tam tai,binh chanh,qui đuc,2026-01-04,16.0,True
39,,"NN, YT",4042226181.0,2022-12-16,2023-01-09,,đia điem kinh doanh cong ty tnhh thuong mai quoc te hai san hoang gia - kho hang,,"C7/27A1, Ấp 4",binh hung,binh chanh,,"che bien nuoc sot; so che, đong goi kinh doanh: thuy san; kinh doanh dich vu an uong",39,2023-01-05,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh thuong mai quoc te hai san hoang gia - kho hang,binh chanh,binh hung,2026-01-04,20.0,True
40,,YT,4042226092.0,2022-12-28,2023-02-01,,cong ty tnhh dac group,TRẦN THỊ ĐẮC VI,Số 25 Đường số 58,binh trung đong,thu đuc,,kinh doanh dich vu an uong,40,2023-01-05,,,,,,ho chi minh,cong ty tnhh dac group,thu đuc,binh trung đong,2026-01-04,8.0,True
41,,YT,4042225732.0,2022-12-15,2023-01-13,,đia điem kinh doanh cong ty co phan binh minh toan cau – cua hang banh breadtalk cantavil,TRẦN UYÊN VY,"Gian hàng 1, Tầng 1, Khu Sảnh văn phòng, Khu phức hợp Cantavil An Phú, Số 1 Đường Song Hành Xa Lộ Hà Nội",an phu,thu đuc,,kinh doanh dich vu an uong,41,2023-01-05,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan binh minh toan cau – cua hang banh breadtalk cantavil,thu đuc,an phu,2026-01-04,21.0,True
42,,YT,4042227003.0,2022-12-19,2023-01-17,,cong ty tnhh nha hang thuyen bia,ĐINH NHO LỘC,39 Nguyễn Quý Cảnh,an phu,thu đuc,,kinh doanh dich vu an uong,42,2023-01-05,,,,,,ho chi minh,cong ty tnhh nha hang thuyen bia,thu đuc,an phu,2026-01-04,17.0,True
43,,YT,4042226988.0,2022-12-20,2023-01-18,,cong ty tnhh we now,VÕ THỊ HẢI TRANG,19B Ngô Quang Huy,thao đien,thu đuc,,kinh doanh dich vu an uong,43,2023-01-05,,,,,,ho chi minh,cong ty tnhh we now,thu đuc,thao đien,2026-01-04,16.0,True
44,,YT,4042227029.0,2022-12-20,2023-01-18,,chi nhanh quan 2 - cong ty tnhh my quang my son,LÊ ANH THƯ,"Số 69 Đường Song hành Xa lộ Hà Nội, Khu phố 5",an phu,thu đuc,,kinh doanh dich vu an uong,44,2023-01-05,,,,,,ho chi minh,chi nhanh quan 2 - cong ty tnhh my quang my son,thu đuc,an phu,2026-01-04,16.0,True
45,,NN,,2022-12-16,2023-01-16,,ho kinh doanh chau thuc ai,,593 Bình Đông,13,8,,che bien trung vit muoi,45,2023-01-05,,,,,,ho chi minh,ho kinh doanh chau thuc ai,8,13,2026-01-04,20.0,True
46,,NN,,2022-12-20,2023-01-16,,ho kinh doanh thuc pham sach,,Số 22B Đường 106,tang nhon phu a,thu đuc,,che bien rau cau,46,2023-01-05,,,,,,ho chi minh,ho kinh doanh thuc pham sach,thu đuc,tang nhon phu a,2026-01-04,16.0,True
47,,NN,,2022-12-16,2023-01-16,,đia điem kinh doanh golden cup 01- cong ty tnhh mot thanh vien golden cup,,87 xuân Thủy,thao đien,thu đuc,,"rang, xay ca phe",47,2023-01-05,,,,,,ho chi minh,đia điem kinh doanh golden cup 01- cong ty tnhh mot thanh vien golden cup,thu đuc,thao đien,2026-01-04,20.0,True
48,,YT,,2022-12-19,2023-01-30,,doanh nghiep tu nhan san xuat thuong mai dich vu hoang hai tc,TRƯƠNG MINH HOÀNG,"Số 18 Đường 42, ấp Đông",binh trung đong,thu đuc,,san xuat nuoc đa vien dung lien,48,2023-01-05,,,,,,ho chi minh,doanh nghiep tu nhan san xuat thuong mai dich vu hoang hai tc,thu đuc,binh trung đong,2026-01-04,17.0,True
49,,"CT, YT",,2023-01-04,2023-01-05,cap đoi,cua hang so 289 - cong ty tnhh vong tron đo,CHEUNG YIU KWONG,402 Nguyễn Thị Thập,tan quy,7,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,49,2023-01-05,6390.0,2021-02-05,,,,ho chi minh,cua hang so 289 - cong ty tnhh vong tron đo,7,tan quy,2026-01-04,1.0,True
50,,"CT, YT",,2023-01-04,2023-01-05,cap đoi,đia điem kinh doanh cua hang so 292 - cong ty tnhh vong tron đo,CHEUNG YIU KWONG,135-137 Lê Văn Sỹ,13,phu nhuan,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,50,2023-01-05,14560.0,2021-04-07,,,,ho chi minh,đia điem kinh doanh cua hang so 292 - cong ty tnhh vong tron đo,phu nhuan,13,2026-01-04,1.0,True
51,,"CT, YT",,2023-01-04,2023-01-05,cap đoi,đia điem kinh doanh cua hang so 299 - cong ty tnhh vong tron đo,CHEUNG YIU KWONG,619 Lê Đức Thọ,16,go vap,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,51,2023-01-05,20330.0,2021-05-17,,,,ho chi minh,đia điem kinh doanh cua hang so 299 - cong ty tnhh vong tron đo,go vap,16,2026-01-04,1.0,True
52,,"CT, YT",,2023-01-04,2023-01-05,cap đoi,cua hang so 400 - cong ty tnhh vong tron đo,CHEUNG YIU KWONG,Số A10/7 Ấp 2,binh hung,binh chanh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,52,2023-01-05,18320.0,2020-05-19,,,,ho chi minh,cua hang so 400 - cong ty tnhh vong tron đo,binh chanh,binh hung,2026-01-04,1.0,True
53,,"CT, YT",,2023-01-04,2023-01-05,cap đoi,cua hang so 287 - cong ty tnhh vong tron đo,CHEUNG YIU KWONG,"Tầng trệt, Chung cư lô 3-4, Cụm 1, Khu dân cư Trung Sơn Đường số 9A",binh hung,binh chanh,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,53,2023-01-05,4110.0,2021-01-26,,,,ho chi minh,cua hang so 287 - cong ty tnhh vong tron đo,binh chanh,binh hung,2026-01-04,1.0,True
54,,CT,,2022-12-21,2023-01-30,,đia điem kinh doanh cua hang kmarket somerset - cong ty tnhh thuong mai an cat,NGÔ THỊ HIỀN,"Gian hàng trong khu vực hồ bơi, 8A Nguyễn Bỉnh Khiêm",đa kao,1,,ban le nhom san pham theo danh muc,54,2023-01-05,,,,,,ho chi minh,đia điem kinh doanh cua hang kmarket somerset - cong ty tnhh thuong mai an cat,1,đa kao,2026-01-04,15.0,True
55,,YT,,2022-12-12,2023-01-30,,cong ty tnhh nha hang spice india,SHAIKH MAIJUDDIN,244 Bùi Viện,pham ngu lao,1,,kinh doanh dich vu an uong,55,2023-01-05,,,,,,ho chi minh,cong ty tnhh nha hang spice india,1,pham ngu lao,2026-01-04,24.0,True
56,," CT, YT",,2022-12-22,2023-01-30,,cong ty tnhh phan phoi sanh đieu - chi nhanh saigon centre,NGUYỄN THỊ PHƯƠNG VIÊN,"Gian hàng B2-11,12, Tầng hầm 2, Tòa nhà Saigon Centre, Số 67 Đường Lê Lợi",ben nghe,1,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,56,,,,,,,ho chi minh,cong ty tnhh phan phoi sanh đieu - chi nhanh saigon centre,1,ben nghe,,,False
57,,CT,,2022-12-23,2023-01-30,,chi nhanh cong ty tnhh thuong mai thuc pham tuoi song ha hien,CHUNG MỸ HIỀN,125-127 Ngô Thị Thu Minh,2,tan binh,,ban le nhom san pham theo danh muc,57,,,,,,,ho chi minh,chi nhanh cong ty tnhh thuong mai thuc pham tuoi song ha hien,tan binh,2,,,False
58,,YT,4042226978.0,2022-12-21,2023-01-19,,the august coffee and poshtel,LA KHIẾT BÌNH,59/11 Phạm Viết Chánh,nguyen cu trinh,1,,kinh doanh dich vu an uong,58,,,,,,,ho chi minh,the august coffee and poshtel,1,nguyen cu trinh,,,False
59,,YT,4042226597.0,2022-12-29,2023-02-03,,đia điem kinh doanh cong ty co phan som tum thai,LÝ HOÀNG KIỀU LINH,"B3-05, Tầng B3, Trung Tâm Thương Mại Vincom Center Đồng Khởi, 72 Lê Thánh Tôn",ben nghe,1,,kinh doanh dich vu an uong,59,,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan som tum thai,1,ben nghe,,,False
60,,YT,4042226134.0,2022-12-30,2023-02-06,,doanh nghiep tu nhan nha hang am thuc vuon dua,NGUYỄN KIM ANH,12 Phan Đình Giót,2,tan binh,,kinh doanh dich vu an uong,60,,,,,,,ho chi minh,doanh nghiep tu nhan nha hang am thuc vuon dua,tan binh,2,,,False
61,,YT,4042227058.0,2022-12-23,2023-01-30,,cong ty tnhh thuong mai dich vu an uong an loc,PHAN QUỲNH NHƯ,927/8 Cách Mạng Tháng Tám,7,tan binh,,kinh doanh dich vu an uong,61,2023-01-05,,,,,,ho chi minh,cong ty tnhh thuong mai dich vu an uong an loc,tan binh,7,2026-01-04,13.0,True
62,,YT,4042226987.0,2022-12-21,2023-01-19,,cong ty tnhh dich vu nha hang que lam quan,NGUYỄN CÔNG THI,Số 02 Huỳnh Lan Khanh,2,tan binh,,kinh doanh dich vu an uong,62,2023-01-05,,,,,,ho chi minh,cong ty tnhh dich vu nha hang que lam quan,tan binh,2,2026-01-04,15.0,True
63,,YT,4042227053.0,2022-12-23,2023-01-30,,cua hang kfc big c an lac,PORNCHAI THURATUM,"Shop 05 Trung tâm thương mại Big C, 1231 Quốc lộ 1A, KP5",binh tri đong b,binh tan,,kinh doanh dich vu an uong,63,2023-01-05,,,,,,ho chi minh,cua hang kfc big c an lac,binh tan,binh tri đong b,2026-01-04,13.0,True
64,,YT,4042226810.0,2022-12-21,2023-01-19,,đia điem kinh doanh thuoc chi nhanh 5 cong ty co phan v lotus holdings - nha hang ushi mania ly tu trong,NGUYỄN MẠNH TỪ,"Lầu 3 - lầu 4 - lầu 5, Số 13 đường Lý Tự Trọng",ben nghe,1,,kinh doanh dich vu an uong,64,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh thuoc chi nhanh 5 cong ty co phan v lotus holdings - nha hang ushi mania ly tu trong,1,ben nghe,2026-01-05,16.0,True
65,,YT,4042226940.0,2022-12-22,2023-01-20,,đia điem kinh doanh cong ty tnhh dich vu flair,LÊ NGỌC THẢO,"Tầng trệt, Số 8/8 Lê Thánh Tôn",ben nghe,1,,kinh doanh dich vu an uong,65,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh dich vu flair,1,ben nghe,2026-01-05,15.0,True
66,,YT,4042226886.0,2022-12-21,2023-01-19,,đia điem kinh doanh phuc long hcm 411 - ks - cong ty co phan phuc long heritage,PHẠM THỊ THU HƯƠNG,106 Bành Văn Trân,7,tan binh,,kinh doanh dich vu an uong,66,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh phuc long hcm 411 - ks - cong ty co phan phuc long heritage,tan binh,7,2026-01-05,16.0,True
67,,YT,4042226989.0,2022-12-22,2023-01-20,,cong ty tnhh kopet vietnam,YOON SUKI,"1016/31 (S13-2) Nguyễn Văn Linh, Khu phố Sky Garden 3, lô R1-3, khu đô thị Phú Mỹ Hưng",tan phong,7,,kinh doanh dich vu an uong,67,2023-01-06,,,,,,ho chi minh,cong ty tnhh kopet vietnam,7,tan phong,2026-01-05,15.0,True
68,,YT,4042227013.0,2022-12-23,2023-01-30,,chi nhanh 6 cong ty tnhh nha hang han quoc meat & meet,LEE TAEYOUNG,"3F-21 Tầng 3 Lotte Mart Nam Sài Gòn, Số 469 Đường Nguyễn Hữu Thọ",tan hung,7,,kinh doanh dich vu an uong,68,2023-01-06,,,,,,ho chi minh,chi nhanh 6 cong ty tnhh nha hang han quoc meat & meet,7,tan hung,2026-01-05,14.0,True
69,,YT,4042227059.0,2022-12-23,2023-01-30,,đia điem kinh doanh sukiya sc vivocity - cong ty tnhh zensho viet nam,TOMOARI HIRATA,"04 - 06, Tầng 4 SC VIVOCITY, 1058 đường Nguyễn Văn Linh",tan phong,7,,kinh doanh dich vu an uong,69,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh sukiya sc vivocity - cong ty tnhh zensho viet nam,7,tan phong,2026-01-05,14.0,True
70,,YT,4042227031.0,2022-12-21,2023-01-19,,đia điem kinh doanh cong ty tnhh h&l concept,TRẦN THỊ MỸ HẰNG,691 Hoàng Sa,vo thi sau,3,,kinh doanh dich vu an uong,70,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh h&l concept,3,vo thi sau,2026-01-05,16.0,True
71,,YT,4042225914.0,2022-12-29,2023-02-03,,đia điem kinh doanh cua hang so 278 vo thi sau tai ho chi minh - cong ty tnhh mot thanh vien am thuc tran,TRẦN THỊ THU THỦY,278 Võ Thị Sáu,vo thi sau,3,,kinh doanh dich vu an uong,71,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh cua hang so 278 vo thi sau tai ho chi minh - cong ty tnhh mot thanh vien am thuc tran,3,vo thi sau,2026-01-05,8.0,True
72,,YT,4042227087.0,2023-12-23,2023-01-30,,đia điem kinh doanh hau giang cong ty tnhh thuong mai dich vu thanh khiem huy,CHÂU TIỂU THUẬN,"Số 155, Đường Hậu Giang",5,6,,kinh doanh dich vu an uong,72,2023-01-06,,,,,,ho chi minh,đia điem kinh doanh hau giang cong ty tnhh thuong mai dich vu thanh khiem huy,6,5,2026-01-05,-351.0,True
