stt,unnamed_1,so_bien_nhan,ngay_nhan,ngay_tra,ten_cong_tydoanh_nghiep,đia_chi,phuong_xa,quan_huyen,ten_san_pham,ten_co_so_sx,đia_chi_sx,phuong_sx,quan_huyen_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,tinh_thanh
22,,,2023-03-22,2023-03-31,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TỪ 01-15 TUỔI OPTI KIDS 3 MEDISURE,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,22,2023-03-28,,Ho Chi Minh
23,,,2023-03-22,2023-03-31,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TỪ 06-36 TUỔI OPTI KIDS 2 MEDISURE,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,23,2023-03-28,,Ho Chi Minh
24,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC OLIVIA BABY,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,24,2023-04-07,,Ho Chi Minh
25,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC OLIVIA PEDIA,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,25,2023-04-07,,Ho Chi Minh
26,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC OLIVIA KAO IQ,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,26,2023-04-07,,Ho Chi Minh
27,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ADELAC BABY GOLD,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,27,2023-04-07,,Ho Chi Minh
28,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ADELAC PEDIA+,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,28,2023-04-07,,Ho Chi Minh
29,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ADELAC KAO IQ,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,29,2023-04-07,,Ho Chi Minh
30,,,2023-04-05,2023-04-17,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÊ MÂY,"10 Đường 23, Khu phố 2",An Khánh,Thủ Đức,SẢN PHẨM MÌ BABY SOMEN 5 VỊ NGŨ CỐC - BABY SOMEN 5 MIXED GRAIN,,920 Higashinango,Minami-Alps City,"Yamanashi, Nhật Bản",30,2023-04-07,,Ho Chi Minh
31,,,2023-04-05,2023-04-17,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÊ MÂY,"10 Đường 23, Khu phố 2",An Khánh,Thủ Đức,SẢN PHẨM MÌ BABY SOMEN VỊ KHOAI LANG - BABY SOMEN SWEET POTATO,,920 Higashinango,Minami-Alps City,"Yamanashi, Nhật Bản",31,2023-04-07,,Ho Chi Minh
32,,,2023-04-26,2023-05-11,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÊ MÂY,"10 Đường 23, Khu phố 2",An Khánh,Thủ Đức,SẢN PHẨM MÌ BABY SOMEN 5 VỊ RAU CỦ - BABY SOMEN 5 MIXED VEGETABLES,,920 Higashinango,Minami-Alps City,"Yamanashi, Nhật Bản",32,2023-04-28,,Ho Chi Minh
33,,,2023-04-24,2023-05-08,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TRÊN 1 TUỔI US COLOS GOLD KIDS OPTI,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,33,2023-04-28,,Ho Chi Minh
34,,,2023-04-24,2023-05-08,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TỪ 01 - 10 TUỔI COLOSTRUM PEDIA GAIN,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,34,2023-04-28,,Ho Chi Minh
35,,,2023-04-24,2023-05-08,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TRÊN 1 TUỔI COLOSTRUM OPTI,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,35,2023-04-28,,Ho Chi Minh
36,,,2023-05-24,2023-06-02,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ARTI GAIN OPTI PREMIUM DÀNH CHO TRẺ TRÊN 2-10 TUỔI,,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,36,2023-05-29,,Ho Chi Minh
37,,,2023-05-24,2023-06-02,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ARTI GAIN OPTI PREMIUM DÀNH CHO TRẺ TỪ 1-2 TUỔI,,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,37,2023-05-29,,Ho Chi Minh
38,,,2023-06-12,2023-06-21,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,BỘT ĂN DẶM HUMABABY VỊ GẠO THƠM,,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,38,2023-06-15,,Ho Chi Minh
39,,,2023-06-12,2023-06-21,CÔNG TY TNHH ĐÔNG NAM DƯỢC BẢO LONG,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,"SẢN PHẨM BỘT ĂN DẶM HUMABABY VỊ BẮP, GẠO, YẾN MẠCH",,"Số 02, đường 430, ấp 1",Phước Vĩnh An,Củ Chi,39,2023-06-15,,Ho Chi Minh
